gutenberg_id,text
1514,But they do square; that all their elves for fear
1514,"Creep into acorn cups, and hide them there."
1514,
1514,FAIRY
1514,"Either I mistake your shape and making quite,"
1514,Or else you are that shrewd and knavish sprite
1514,Call'd Robin Goodfellow: are not you he
1514,That frights the maidens of the villagery;
1514,"Skim milk, and sometimes labour in the quern,"
1514,And bootless make the breathless housewife churn;
1514,And sometime make the drink to bear no barm;
1514,"Mislead night-wanderers, laughing at their harm?"
1514,"Those that Hobgoblin call you, and sweet Puck,"
1514,"You do their work, and they shall have good luck:"
1514,Are not you he?
1514,
1514,PUCK
1514,                Thou speak'st aright;
1514,I am that merry wanderer of the night.
1514,"I jest to Oberon, and make him smile,"
1514,"When I a fat and bean-fed horse beguile,"
1514,Neighing in likeness of a filly foal;
1514,"And sometime lurk I in a gossip's bowl,"
1514,In very likeness of a roasted crab;
1514,"And, when she drinks, against her lips I bob,"
1514,And on her withered dewlap pour the ale.
1514,"The wisest aunt, telling the saddest tale,"
1514,Sometime for three-foot stool mistaketh me;
1514,"Then slip I from her bum, down topples she,"
1514,"And 'tailor' cries, and falls into a cough;"
1514,"And then the whole quire hold their hips and loffe,"
1514,"And waxen in their mirth, and neeze, and swear"
1514,A merrier hour was never wasted there.--
1514,"But room, fairy, here comes Oberon."
1514,
1514,FAIRY
1514,And here my mistress.--Would that he were gone!
1514,
1514,"[Enter OBERON at one door, with his Train, and TITANIA,"
1514,"at another, with hers.]"
1514,
1514,OBERON
1514,"Ill met by moonlight, proud Titania."
1514,
1514,TITANIA
1514,"What, jealous Oberon! Fairies, skip hence;"
1514,I have forsworn his bed and company.
1514,
1514,OBERON
1514,"Tarry, rash wanton: am not I thy lord?"
1514,
1514,TITANIA
1514,Then I must be thy lady; but I know
1514,"When thou hast stol'n away from fairy-land,"
1514,"And in the shape of Corin sat all day,"
1514,"Playing on pipes of corn, and versing love"
1514,"To amorous Phillida. Why art thou here,"
1514,"Come from the farthest steep of India,"
1514,"But that, forsooth, the bouncing Amazon,"
1514,"Your buskin'd mistress and your warrior love,"
1514,To Theseus must be wedded; and you come
1514,To give their bed joy and prosperity.
1514,
1514,OBERON
1514,"How canst thou thus, for shame, Titania,"
1514,"Glance at my credit with Hippolyta,"
1514,Knowing I know thy love to Theseus?
1514,Didst not thou lead him through the glimmering night
1514,"From Perigenia, whom he ravish'd?"
1514,"And make him with fair Aegle break his faith,"
1514,With Ariadne and Antiopa?
1514,
1514,TITANIA
1514,These are the forgeries of jealousy:
1514,"And never, since the middle summer's spring,"
1514,"Met we on hill, in dale, forest, or mead,"
1514,"By paved fountain, or by rushy brook,"
1514,"Or on the beached margent of the sea,"
1514,"To dance our ringlets to the whistling wind,"
1514,But with thy brawls thou hast disturb'd our sport.
1514,"Therefore the winds, piping to us in vain,"
1514,"As in revenge, have suck'd up from the sea"
1514,"Contagious fogs; which, falling in the land,"
1514,Hath every pelting river made so proud
1514,That they have overborne their continents:
1514,"The ox hath therefore stretch'd his yoke in vain,"
1514,The ploughman lost his sweat; and the green corn
1514,Hath rotted ere his youth attain'd a beard:
1514,"The fold stands empty in the drowned field,"
1514,And crows are fatted with the murrion flock;
1514,The nine men's morris is fill'd up with mud;
1514,"And the quaint mazes in the wanton green,"
1514,"For lack of tread, are undistinguishable:"
1514,The human mortals want their winter here;
1514,No night is now with hymn or carol blest:--
1514,"Therefore the moon, the governess of floods,"
1514,"Pale in her anger, washes all the air,"
1514,That rheumatic diseases do abound:
1514,And thorough this distemperature we see
1514,The seasons alter: hoary-headed frosts
1514,Fall in the fresh lap of the crimson rose;
1514,And on old Hyem's thin and icy crown
1514,An odorous chaplet of sweet summer buds
1514,"Is, as in mockery, set: the spring, the summer,"
1514,"The childing autumn, angry winter, change"
